id,title,type_name,initial_state,steps,expected_result,received_result,passed,bug_id,user_id,testdata
14,"Сброс фильтра ""Счастливчики"" после повторного нажатия на кнопку",Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В левой верхней части тела страницы найти кнопку ""Счастливчики""
2) Нажать на нее один раз
3) Нажать на нее второй раз","После первого нажатия карточки отфильтрованы. После повторного нажатия фильтр был сброшен, отображаются все карточки питомцев.","После первого нажатия карточки отфильтрованы. После повторного нажатия фильтр был сброшен, отображаются все карточки питомцев.",t,,319736241,None
15,"Интерактивность оглавления страницы ""Питомцы""",Functional,"Открыта страница Питомцы
http://130.193.37.179/app/pets","1) В нижней части тела страницы найти блок оглавления (две стрелки и цифра, означающая номер страницы)
2) Нажать на цифру 1",Страница перезагружена,Страница не перезагрузилась,f,18,319736241,None
16,"Работа кнопки ""Приютить"" в расширенной карточке питомца",Functional,"Открыта страница питомца ""Барон""
http://130.193.37.179/app/pets/517d137a-d05e-48bc-b1c0-cfeb09e06f23","1) Под списком информации о питомце в центральной части тела страницы найти кнопку ""Приютить""
2) Нажать на кнопку ""Приютить""",Открыта форма приема контактных данных,Открыта форма приема контактных данных,t,,319736241,None
17,Внешний вид секции для ввода контактной информации в расширенной карточке питомца,Non-functional,"Открыта секция для ввода контактной информации в карточке питомца ""Барон""","1) Пронаблюдать заголовок карточки
2) Пронаблюдать надписи на кнопках",Ни в одной надписи нет знаков препинания,Знаки препинания присутствуют,f,20,319736241,None
18,"Негативное тестирование поля ""Имя"" в секции для ввода контактной информации",Functional,"Открыта секция для ввода контактной информации питомца ""Барон""","1) В центральной части тела страницы найти поле для ввода ""Имя""
2) Активировать его кликом мыши
3) Ввести в него первую строку из тестовых данных
4) Ввести в него вторую строку из тестовых данных",Поле не приняло спецсимволы или цифры,Поле приняло спецсимволы и цифры,f,21,319736241,"Строки 
1) ""&&&@@@@&""
2) ""83939929292"""
19,Негативный тест ввода в поле email в форме с приемом контактной информации,Functional,"Открыта секция с приемом контактной информации питомца ""Барон""
http://130.193.37.179/app/pets/517d137a-d05e-48bc-b1c0-cfeb09e06f23","1) Ввести в поле ""Имя"" тестовую информацию
2)  Ввести в поле ""Фамилия"" тестовую информацию
3)  Ввести в поле ""Отчество"" тестовую информацию
4) Ввести в поле ""Номер телефона"" тестовую информацию
5) Ввести в поле ""email"" тестовую информацию
Нажать на кнопку ""Да"" в левой нижней части формы","Форма не отправлена, под полем для ввода электронного адреса высвечена ошибка о некорректности ввода","Форма не отправлена, под полем для ввода электронного адреса высвечена ошибка о некорректности ввода",t,,319736241,"Строки:
Имя: Джон
Фамилия: Сноу
Отчество: Петрович
Номер телефона: +79855555
email: JKFHLEKUF"
20,"Негативное тестирование поля ввода ""Телефон"" в форме ""Приютить""",Functional,"Открыта секция с приемом контактной информации питомца ""Барон""
http://130.193.37.179/app/pets/517d137a-d05e-48bc-b1c0-cfeb09e06f23","1) Заполнить поля формы тестовой информацией
2) Нажать на кнопку ""Да"" в левой нижней части формы","Форма не отправлена, под полем ""Телефон"" высвечена ошибка","Форма не отправлена, под полем ""Телефон"" высвечена ошибка",t,,319736241,"Строки:
Имя: Джон
Фамилия: Сноу
Отчество: Петрович
Номер телефона: +798фуп4
email: hi@test.mail.ru"
21,"Положительное тестирование формы ""Приютить""",Functional,"Открыта секция с приемом контактной информации питомца ""Барон""
http://130.193.37.179/app/pets/517d137a-d05e-48bc-b1c0-cfeb09e06f23","1) Заполнить поля формы тестовой информацией
2) Нажать на кнопку ""Да"" в левой нижней части формы","Форма не отправлена (на данном этапе развития веб-ресурса).
Ни одно из полей не показывает ошибки","Форма не отправлена.
Ни одно из полей не показывает ошибки",t,,319736241,"Строки:
Имя: Джон
Фамилия: Сноу
Отчество: Петрович
Номер телефона: +79856666666
email: hi@test.mail.ru"
22,"Сортировка питомцев по статусу на странице ""Питомцы""",Functional,"Открыта страница ""Питомцы""
http://130.193.37.179/app/pets","1) В правой верхней части тела страницы найти выпадающий список ""Сортировать по""\n2) Развернуть список\n3)Выбрать пункт ""Статус""","Питомцы отсортированы. Вначале идут те, которых хотят забрать, за ними — те, которые еще ждут хозяина","Питомцы отсортированы. Вначале идут те, которых хотят забрать, за ними — те, которые еще ждут хозяина",t,,319736241,None
23,"Тестирование поисковой строки на странице ""Контакты""",Functional,"Открыта страница ""Контакты""
http://130.193.37.179/app/contact","1) В правой части заголовка страницы найти поле поиска
2) Ввести в него строку из тестовых данных
3) Нажать Enter","Открыта страница ""Питомцы"". На ней одна карточка — попугай Гоша","Страница ""Контакты"" обновлена",f,7,319736241,"Строка: ""Гоша"""
24,"Тестирование тестовой строки на странице ""О нас""",Functional,"Открыта страница ""О нас""
http://130.193.37.179/app/about","1) В правой части заголовка страницы найти поле поиска
2) Ввести в него строку из тестовых данных
3) Нажать Enter","Открыта страница ""Питомцы"", на ней единственная карточка — питомец Феликс","Страница ""О нас"" обновлена",f,24,319736241,"Срока: ""Феликс"""
25,"Тестирование элементов списка ""Пол"" в фильтрах на странице ""Питомцы""",Functional,"Открыта страница ""Питомцы""
http://130.193.37.179/app/pets","1) В левой верхней части страницы найти блок фильтров
2) В поле ""Пол"" развернуть выпадающий список","В списке два основных пола животных, или приведено литературное название пола для каждого вида животных, содержащихся в приюте","Развернут список. В нем следующие пункты:
- Вилка
- Вилка
- Девочка
- Кабель
- Мальчик
- Розетка

Все результаты являются некорректными",f,25,319736241,None
